,nombre_estacion,stop_lat,stop_lon,primera_estacion,segunda_estacion,tercera_estacion,cuarta_estacion
38,Hidalgo_1_3,19.43674867,-99.14681554,Metro 3,Metro 2,Ninguna,Ninguna
39,Iztacalco_1,19.388092,-99.112086,Metro 8,Ninguna,Ninguna,Ninguna
40,Impulsora,19.484987,-99.048743,Metro B,Ninguna,Ninguna,Ninguna
41,Candelaria,19.42909974,-99.11989689,Metro 1,Metro 4,Ninguna,Ninguna
42,Barranca del Muerto,19.361488199999997,-99.18895841,Metro 7,Ninguna,Ninguna,Ninguna
43,Deportivo 18 de Marzo_1_3,19.484050699999997,-99.12543297,Metro 3,Metro 6,Ninguna,Ninguna
44,Chabacano_1_2,19.40891333,-99.13542151,Metro 2,Metro 8,Metro 9,Ninguna
45,Consulado_1,19.455485,-99.11348104,Metro 5,Metro 4,Ninguna,Ninguna
46,Bosque de Aragón,19.45807473,-99.06927824,Metro B,Ninguna,Ninguna,Ninguna
47,Allende,19.43547387,-99.13670897,Metro 2,Ninguna,Ninguna,Ninguna
48,Pino Suárez_1_2,19.42595305,-99.13268566,Metro 1,Metro 2,Ninguna,Ninguna
49,Villa de Cortés,19.38746949,-99.13862944,Metro 2,Ninguna,Ninguna,Ninguna
50,Viaducto_1,19.40074699,-99.13663387,Metro 2,Ninguna,Ninguna,Ninguna
51,Vallejo,19.49031142,-99.15479779,Metro 6,Ninguna,Ninguna,Ninguna
52,Morelos_1_3,19.43973327,-99.11790133,Metro 4,Metro B,Ninguna,Ninguna
53,Jamaica_1,19.41014786,-99.12203193,Metro 4,Metro 9,Ninguna,Ninguna
54,Guerrero_1_4,19.44522682,-99.1463542,Metro B,Metro 3,Ninguna,Ninguna
55,Oceanía_1,19.44572255,-99.08683062,Metro B,Metro 5,Ninguna,Ninguna
56,Doctores,19.42049932,-99.14335012,Metro 8,Ninguna,Ninguna,Ninguna
57,Mixhuca,19.40820499,-99.11285877,Metro 9,Ninguna,Ninguna,Ninguna
58,Los Reyes,19.35877546,-98.97670984,Metro A,Ninguna,Ninguna,Ninguna
59,Zapata_1,19.370547199999997,-99.16540861,Metro 12,Metro 3,Ninguna,Ninguna
60,Centro Médico_1,19.40749665,-99.15531278,Metro 3,Metro 9,Ninguna,Ninguna
61,Cerro de la Estrella,19.355601,-99.085872,Metro 8,Ninguna,Ninguna,Ninguna
62,Bondojito_1,19.46450842,-99.1117537,Metro 4,Ninguna,Ninguna,Ninguna
63,Canal de San Juan_1_3,19.39821706,-99.05969739,Metro A,Ninguna,Ninguna,Ninguna
64,Pantitlán,19.41528826,-99.07505035,Metro 5,Metro 1,Metro 9,Metro A
65,San Andrés Tomatlán,19.3272315,-99.10259128,Metro 12,Ninguna,Ninguna,Ninguna
66,Chabacano,19.408513,-99.135489,Metro 9,Metro 2,Metro 8,Ninguna
67,Eduardo Molina_1,19.45112485,-99.10544515,Metro 5,Ninguna,Ninguna,Ninguna
68,Ciudad Deportiva,19.40811392,-99.09135818,Metro 9,Ninguna,Ninguna,Ninguna
69,Cuatro Caminos,19.458454,-99.21464300000001,Metro 2,Ninguna,Ninguna,Ninguna
70,Guelatao,19.38459525,-99.03579354,Metro A,Ninguna,Ninguna,Ninguna
71,Martín Carrera_1,19.4837675,-99.10599232,Metro 4,Metro 6,Ninguna,Ninguna
72,Morelos_1_2,19.438426,-99.11933,Metro B,Metro 4,Ninguna,Ninguna
73,Insurgentes_1_5,19.42359552,-99.16325212,Metro 1,Ninguna,Ninguna,Ninguna
74,Lindavista,19.4875806,-99.13434863,Metro 6,Ninguna,Ninguna,Ninguna
75,Nezahualcóyotl,19.472534,-99.054375,Metro B,Ninguna,Ninguna,Ninguna
